The data shown here is provided by Statistics Canada from the 2016 Census as a custom data order for the City of Vancouver using the City's 22 local planning areas,,,,,,,,,,,,,,,,,,,,,,,,,
"The data may be reproduced provided they are credited to Statistics Canada, Census 2016, custom order for City of Vancouver Local Areas'",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
 CENSUS DATA FOR CITY OF VANCOUVER LOCAL AREAS 2016,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Variable,Arbutus-Ridge ,Downtown ,Dunbar-Southlands ,Fairview ,Grandview-Woodland ,Hastings-Sunrise ,Kensington-Cedar Cottage ,Kerrisdale ,Killarney ,Kitsilano ,Marpole ,Mount Pleasant ,Oakridge ,Renfrew-Collingwood ,Riley Park ,Shaughnessy ,South Cambie ,Strathcona ,Sunset ,Victoria-Fraserview,West End ,West Point Grey ,Vancouver CSD ,Vancouver CMA 
4286,      44. Public administration and social service professions,15,75,20,70,95,35,75,0,35,75,0,75,20,35,25,0,10,20,40,30,145,10,905,2465
4287,"      52. Business, management, marketing and related support services",850,5435,1255,1905,865,1040,1560,915,1190,2425,1145,1840,830,1815,950,525,365,250,1390,1190,3315,685,31675,109420
4288,    Physical and life sciences and technologies,345,1040,535,800,350,345,575,275,335,1135,445,560,205,550,465,125,135,120,360,315,685,405,10090,29305
4289,      26. Biological and biomedical sciences,125,380,215,420,140,130,245,125,105,515,215,220,75,210,210,50,75,45,120,110,295,160,4195,10225
4290,      30.01 Biological and physical sciences,95,215,70,90,55,60,140,45,105,110,75,90,45,165,65,30,25,35,100,90,135,35,1860,6565
4291,      30C Other interdisciplinary physical and life sciences,0,10,0,10,0,10,0,0,0,0,0,10,0,0,10,0,0,0,0,0,10,0,50,160
4292,      40. Physical sciences,120,415,240,275,155,145,185,90,115,505,150,230,90,165,185,35,45,35,135,105,245,205,3870,11790
4293,      41. Science technologies/technicians,10,20,0,0,10,10,10,10,10,10,0,10,0,10,0,0,0,10,10,10,10,10,115,565
4294,"    Mathematics, computer and information sciences",165,1980,285,660,430,415,810,145,475,755,490,595,215,985,330,120,115,110,500,410,1305,185,11460,37010
4295,      11. Computer and information sciences and support services,135,1715,190,500,315,345,720,100,410,625,415,535,165,865,250,70,105,90,435,370,1135,115,9605,31725
4296,      25. Library science,0,30,10,20,30,10,20,10,0,20,15,0,10,0,15,0,10,10,20,0,25,15,270,485
4297,      27. Mathematics and statistics,20,220,55,130,80,55,65,40,60,90,55,45,40,110,60,45,0,15,40,40,140,50,1445,4425
4298,"      30D Interdisciplinary mathematics, computer and information sciences",10,20,20,10,0,10,0,0,10,15,10,0,0,10,0,10,10,0,0,10,10,10,140,375
4299,"    Architecture, engineering, and related technologies",860,4330,1310,1905,1770,2225,3175,750,1965,2810,1725,1975,725,3530,1360,375,480,515,2190,1845,3295,780,39800,186360
4300,      04. Architecture and related services,85,350,100,205,175,60,130,115,85,320,75,220,35,80,165,65,65,40,110,55,435,100,3070,7200
4301,      14. Engineering,510,2470,750,870,465,515,1000,385,730,1320,840,815,350,1125,485,200,190,100,750,550,1375,410,16190,59710
4302,      15. Engineering technologies and engineering-related fields,115,615,180,240,315,390,515,75,360,325,250,310,120,600,190,35,85,80,365,365,475,110,6100,29890
4303,      30.12 Historic preservation and conservation,0,10,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,20,20
4304,      46. Construction trades,70,370,145,275,465,555,615,85,330,470,220,325,110,725,225,45,50,115,315,340,505,90,6405,37980
4305,      47. Mechanic and repair technologies/technicians,55,325,105,220,235,490,610,55,330,240,260,190,80,755,200,30,70,110,510,405,305,45,5625,34715
4306,      48. Precision production,30,200,30,90,105,215,310,30,125,130,80,110,20,240,100,0,20,60,135,130,210,20,2385,16840
4307,"    Agriculture, natural resources and conservation",45,235,95,160,190,100,140,110,90,225,95,155,40,150,115,15,45,15,135,85,220,30,2485,9535
4308,"      01. Agriculture, agriculture operations and related sciences",15,105,35,70,75,40,60,65,65,70,45,85,15,95,45,10,30,10,115,55,100,10,1190,5480
4309,      03. Natural resources and conservation,25,125,60,90,115,60,80,50,30,165,55,70,25,55,70,10,20,10,25,35,125,20,1295,4060
4310,    Health and related fields,305,1490,565,945,415,325,640,410,455,995,360,675,310,650,425,395,220,105,500,430,1140,380,12100,36465
4311,"      31. Parks, recreation, leisure and fitness studies",30,210,50,170,95,55,130,25,85,325,65,130,15,95,65,15,25,15,100,60,265,35,2070,6575
4312,      51. Health professions and related programs,215,1075,360,655,295,270,500,300,360,550,265,470,250,555,305,260,155,90,395,355,810,265,8735,26980
4313,"      60. Dental, medical and veterinary residency programs",50,205,155,120,20,10,0,90,10,120,25,75,40,0,55,120,35,10,0,15,65,75,1295,2910
4314,"    Personal, protective and transportation services",105,795,120,330,295,395,410,70,240,400,255,440,70,615,215,40,30,160,295,270,775,55,6360,25600
4315,      12. Personal and culinary services,45,490,55,205,200,305,295,35,145,220,160,290,45,450,150,30,20,125,165,145,555,40,4160,12030
4316,"      28. Military science, leadership and operational art",0,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,85
4317,      29. Military technologies and applied sciences,10,10,0,10,10,0,0,0,0,0,0,0,0,10,0,0,0,0,10,10,10,0,55,255
4318,      43. Security and protective services,30,115,20,35,25,30,25,10,25,55,0,40,0,65,20,0,10,10,20,35,65,10,645,4425
4319,      49. Transportation and materials moving,30,165,40,85,65,65,90,25,75,130,85,95,25,90,45,10,0,25,100,90,140,10,1480,8810
4320,    Other,0,10,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,10,0,35,70
4321,"      30.99 Multidisciplinary/interdisciplinary studies, other",0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,10,0,35,70
4322,  Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for females aged 15 years and over in private households - 25% sample data,7265,26080,9275,16605,13370,15140,21535,6570,13180,20750,11135,15025,6265,23280,10035,3520,3530,4120,15840,13820,21235,5870,282730,1065780
4323,"    No postsecondary certificate, diploma or degree",2575,5670,2780,3210,4630,8160,10155,2335,6015,4630,4325,3395,2455,12120,3320,1080,1015,2115,8100,7740,4980,1650,102140,449050
4324,    Education,430,995,745,960,750,430,845,445,610,1360,520,710,350,720,590,225,220,65,615,430,935,395,13300,54465
4325,      13. Education,430,1000,740,965,745,430,845,445,610,1365,520,705,350,720,585,225,225,65,615,430,935,395,13295,54465
4326,"    Visual and performing arts, and communications technologies",270,1675,375,1315,1145,600,1040,265,355,1410,405,1520,220,555,585,180,240,370,365,310,1885,360,15435,36200
4327,      10. Communications technologies/technicians and support services,10,160,20,65,60,35,95,0,35,65,35,80,0,50,30,10,10,15,10,40,260,0,1085,2780
4328,      50. Visual and performing arts,270,1515,360,1250,1085,565,945,265,320,1345,370,1435,220,505,555,170,225,360,355,275,1620,360,14350,33420
4329,    Humanities,535,1580,575,1175,880,625,980,410,590,1425,580,970,315,730,625,245,235,205,580,400,1640,510,15785,49645
4330,"      16. Aboriginal and foreign languages, literatures and linguistics",120,360,105,155,55,65,105,70,110,185,115,100,75,120,65,50,15,25,80,60,350,60,2445,8545
4331,      23. English language and literature/letters,170,585,190,480,405,220,345,155,170,550,215,425,95,200,275,80,115,80,130,125,660,225,5885,15620
4332,"      24. Liberal arts and sciences, general studies and humanities",150,340,115,200,180,170,305,85,220,255,140,175,95,255,145,60,55,40,285,155,285,95,3810,15260
4333,      30A Interdisciplinary humanities,0,0,10,0,0,0,0,0,0,20,10,20,0,20,0,0,0,0,0,10,15,0,100,210
4334,      38. Philosophy and religious studies,20,85,35,60,50,35,50,10,15,65,10,80,15,25,25,25,10,15,10,15,65,30,735,1620
4335,      39. Theology and religious vocations,10,35,15,65,40,30,40,15,25,55,20,35,10,25,15,0,10,10,25,10,50,25,555,2160
4336,      54. History,40,115,85,140,105,85,105,40,30,175,55,95,10,65,55,15,30,30,40,20,145,50,1530,4355
4337,      55. French language and literature/letters,30,55,25,75,40,15,30,35,20,130,10,30,25,25,40,10,15,10,10,0,75,30,730,1870
4338,    Social and behavioural sciences and law,665,4200,1330,2785,1810,1225,1900,790,1055,3490,1070,2295,570,1615,1270,440,450,365,1100,825,3145,750,33055,97840
4339,"      05. Area, ethnic, cultural, gender, and group studies",20,90,20,80,95,25,60,20,50,95,45,60,25,40,45,10,0,10,10,35,45,20,915,1925
4340,"      09. Communication, journalism and related programs",50,670,135,435,270,190,205,65,115,390,100,385,60,205,215,30,50,75,90,85,555,85,4435,10595
4341,      19. Family and consumer sciences/human sciences,70,370,105,230,185,205,340,75,215,310,175,220,90,325,95,65,55,25,245,185,345,95,3995,17350
4342,      22. Legal professions and studies,120,765,225,405,215,150,195,155,125,515,105,315,70,190,210,85,60,50,150,125,485,115,4805,15325
4343,      30B Interdisciplinary social and behavioural sciences,20,65,25,95,95,40,60,10,20,95,15,90,0,25,20,0,0,15,30,15,80,15,840,1865
4344,      42. Psychology,145,785,360,675,330,235,415,145,160,860,235,495,100,320,265,95,130,85,215,165,635,135,6960,19235
4345,      45. Social sciences,240,1450,475,860,630,375,620,325,375,1220,400,735,230,510,425,150,140,105,360,215,995,285,11105,31545
4346,"    Business, management and public administration",1145,5540,1340,2385,1420,1540,2420,1015,1935,3070,1660,2230,1080,2850,1285,490,425,360,1785,1665,3670,725,39945,148380
4347,      30.16 Accounting and computer science,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,10,10,0,0,55,290
4348,      44. Public administration and social service professions,65,245,75,240,265,110,205,35,95,270,70,205,50,75,120,25,15,55,65,55,270,45,2640,7770
4349,"      52. Business, management, marketing and related support services",1080,5295,1260,2145,1145,1425,2210,980,1840,2795,1590,2025,1025,2770,1170,465,415,300,1715,1600,3400,680,37250,140320
4350,    Physical and life sciences and technologies,270,920,430,825,275,335,465,195,295,1065,375,635,165,460,375,150,155,85,420,270,615,285,9045,26640
4351,      26. Biological and biomedical sciences,125,465,230,510,180,110,250,70,145,685,185,340,55,205,210,85,85,50,195,105,365,145,4800,12490
4352,      30.01 Biological and physical sciences,70,185,90,150,55,115,125,80,70,115,95,130,40,140,90,35,35,10,135,100,110,50,2015,6825
4353,      30C Other interdisciplinary physical and life sciences,10,15,0,15,10,0,0,0,10,25,10,10,15,10,0,0,0,0,10,0,25,0,165,475
4354,      40. Physical sciences,60,240,90,135,40,100,70,40,55,240,85,155,35,85,75,25,30,25,70,55,105,75,1880,5820
4355,      41. Science technologies/technicians,10,20,15,15,0,0,15,10,15,0,10,0,15,15,0,10,10,0,10,10,15,10,185,1035
4356,"    Mathematics, computer and information sciences",185,650,175,365,200,220,300,115,285,410,330,320,145,505,175,95,60,55,240,180,450,140,5605,19680
4357,      11. Computer and information sciences and support services,85,490,80,185,90,160,190,50,195,195,240,150,75,375,110,45,30,25,220,150,290,45,3480,13190
4358,      25. Library science,40,55,55,105,90,30,80,40,45,105,30,90,25,45,30,15,20,30,0,15,75,45,1050,2725
4359,      27. Mathematics and statistics,55,95,35,75,15,25,30,25,45,105,50,75,50,75,35,35,15,0,15,0,90,50,990,3545
4360,"      30D Interdisciplinary mathematics, computer and information sciences",10,10,0,0,10,10,0,10,10,10,0,0,0,20,0,0,0,0,0,10,0,10,80,215
4361,"    Architecture, engineering, and related technologies",235,1230,300,505,310,235,410,165,275,660,345,505,175,460,215,70,95,95,230,220,875,210,7805,25550
4362,      04. Architecture and related services,35,285,55,185,125,60,130,60,50,245,25,180,20,65,105,10,45,25,40,25,285,50,2110,4180
4363,      14. Engineering,145,780,200,245,115,115,185,100,165,295,245,240,140,275,85,45,35,25,135,110,400,130,4210,14370
4364,      15. Engineering technologies and engineering-related fields,35,75,20,55,35,20,55,10,50,75,25,55,15,60,10,0,20,20,45,45,120,25,845,3935
4365,      30.12 Historic preservation and conservation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
4366,      46. Construction trades,10,20,10,0,15,20,10,0,15,15,30,20,10,20,10,0,0,15,0,20,25,0,240,1210
4367,      47. Mechanic and repair technologies/technicians,10,25,10,10,10,10,25,0,0,20,10,10,10,30,10,0,0,0,10,0,30,0,215,1095
4368,      48. Precision production,15,30,10,10,10,15,10,0,0,15,0,10,0,10,10,0,0,10,0,10,10,0,180,745
4369,"    Agriculture, natural resources and conservation",50,235,90,130,155,100,210,65,50,250,95,155,35,165,100,45,30,35,120,45,150,65,2360,7355
4370,"      01. Agriculture, agriculture operations and related sciences",20,140,40,60,45,60,150,45,40,115,80,85,35,115,55,35,20,20,90,35,85,15,1360,4905
4371,      03. Natural resources and conservation,30,95,45,70,105,45,60,20,10,140,20,75,0,55,50,10,10,15,30,10,70,45,1005,2450
4372,    Health and related fields,815,2700,1055,2560,1350,1310,2340,665,1420,2575,1185,1890,685,2470,1255,470,535,270,1835,1370,2110,695,31515,123440
4373,"      31. Parks, recreation, leisure and fitness studies",35,130,80,115,70,45,105,35,55,295,55,180,25,60,70,20,35,25,35,30,200,60,1750,6125
4374,      51. Health professions and related programs,745,2405,880,2325,1270,1240,2210,565,1350,2135,1115,1630,615,2390,1140,400,465,245,1765,1340,1865,595,28640,114925
4375,"      60. Dental, medical and veterinary residency programs",35,165,100,115,10,25,20,70,20,145,10,75,45,20,55,50,35,0,40,10,45,40,1125,2390
4376,"    Personal, protective and transportation services",90,665,95,385,440,350,475,100,285,385,240,410,75,615,245,30,55,90,440,350,765,85,6650,27375
4377,      12. Personal and culinary services,75,605,75,350,415,340,460,95,280,365,225,390,70,560,235,35,50,85,385,335,690,75,6165,24745
4378,"      28. Military science, leadership and operational art",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
4379,      29. Military technologies and applied sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
4380,      43. Security and protective services,0,25,10,30,20,15,10,10,10,10,0,10,0,10,10,0,0,0,25,10,30,0,205,1495
4381,      49. Transportation and materials moving,15,40,10,10,0,0,10,10,0,15,15,15,0,45,0,0,0,0,35,10,45,10,280,1125
4382,    Other,0,20,0,0,10,10,0,0,0,10,0,10,0,0,10,0,0,0,0,10,10,0,95,155
4383,"      30.99 Multidisciplinary/interdisciplinary studies, other",0,20,0,10,0,10,0,0,0,10,0,10,10,0,10,0,0,10,0,0,0,0,90,155
,,,,,,,,,,,,,,,,,,,,,,,,,
4384,Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 25 to 64 years in private households - 25% sample data,7605,43495,10735,22455,20065,19565,29140,7060,16220,28115,14490,24275,6715,30000,13425,4125,4520,5860,19835,16800,34430,6495,384600,1392440
4385,"  No postsecondary certificate, diploma or degree",1530,7755,1840,3290,5860,8085,10665,1460,5575,4240,4135,4905,1660,12475,2940,765,750,2475,7805,7590,6945,1015,103460,450760
4386,  Education,280,855,535,765,795,535,945,300,620,1205,440,775,265,610,630,155,180,95,630,440,1040,250,12300,49160
4387,    13. Education,280,855,535,760,790,535,945,300,620,1205,440,775,265,615,625,155,180,95,625,445,1040,250,12300,49160
4388,"  Visual and performing arts, and communications technologies",360,3170,505,2060,2120,1000,1735,295,515,2055,625,2775,255,1000,980,210,390,635,540,435,3490,355,25455,54535
4389,    10. Communications technologies/technicians and support services,25,610,45,260,265,155,305,25,105,270,105,390,10,240,130,20,45,85,90,105,685,15,3960,9115
4390,    50. Visual and performing arts,340,2560,460,1800,1850,845,1425,275,405,1790,520,2390,250,755,850,190,345,545,445,335,2800,340,21495,45415
4391,  Humanities,535,2035,620,1440,1290,875,1270,470,690,1805,760,1430,375,930,840,275,305,285,845,540,2345,465,20405,62810
4392,"    16. Aboriginal and foreign languages, literatures and linguistics",120,355,110,165,90,65,105,55,100,230,140,100,75,115,55,55,25,20,85,80,395,80,2620,8940
4393,    23. English language and literature/letters,155,695,195,515,505,295,440,140,220,575,225,600,100,270,325,85,145,90,165,135,830,155,6860,17550
4394,"    24. Liberal arts and sciences, general studies and humanities",150,505,110,260,285,250,400,135,225,370,195,305,120,300,190,70,75,60,395,240,385,55,5080,20030
4395,    30A Interdisciplinary humanities,0,0,10,10,15,10,0,10,0,20,15,15,0,15,10,0,0,0,0,0,10,0,120,270
4396,    38. Philosophy and religious studies,25,135,20,125,130,50,95,30,30,140,45,110,20,60,65,40,15,30,45,20,165,35,1430,3135
4397,    39. Theology and religious vocations,15,60,50,75,65,50,45,20,45,55,35,35,25,55,45,15,10,20,45,25,90,35,910,3960
4398,    54. History,50,225,115,225,160,140,160,55,60,325,90,225,30,100,105,0,20,55,110,40,370,75,2745,7210
4399,    55. French language and literature/letters,20,60,15,60,40,15,20,30,10,90,0,45,10,20,35,0,10,10,0,10,85,30,640,1705
4400,  Social and behavioural sciences and law,920,6310,1650,3610,2525,1715,2640,1040,1370,4630,1390,3370,700,2060,1760,590,580,515,1490,980,4560,965,45245,127390
4401,"    05. Area, ethnic, cultural, gender, and group studies",25,165,20,85,110,30,70,25,60,115,45,70,25,35,45,20,10,25,15,35,70,25,1115,2265
4402,"    09. Communication, journalism and related programs",60,960,160,585,400,205,305,65,160,495,155,565,65,260,265,45,55,80,140,85,785,105,5980,14210
4403,    19. Family and consumer sciences/human sciences,60,355,80,195,190,200,350,35,195,260,135,210,50,270,90,35,50,40,200,145,375,45,3530,15155
4404,    22. Legal professions and studies,215,1270,355,565,340,245,300,240,160,840,145,500,90,235,305,165,80,60,190,135,675,210,7310,20290
